x,t=3.60e+02s,t=7.20e+02s,t=3.60e+03s,t=2.16e+04s
2.484969939879759265e-04,2.001988029892897108e+24,2.118287594224687230e+24,2.216599320506374830e+24,2.226139875382687206e+24
2.565130260521042015e-04,1.994143421144480191e+24,2.114130031671635543e+24,2.215579551662000610e+24,2.225426833411184014e+24
2.525050100200400640e-04,1.998064568423654397e+24,2.116208408838751545e+24,2.216089423985378530e+24,2.225783354393856253e+24
2.605210420841683389e-04,1.990224624030329262e+24,2.112052475359151799e+24,2.215069703918815552e+24,2.225070312434765247e+24
2.565130260521042015e-04,1.994143421144480191e+24,2.114130031671635543e+24,2.215579551662000073e+24,2.225426833411183208e+24
2.645290581162324764e-04,1.986308213020611502e+24,2.109975752528028764e+24,2.214559881138333947e+24,2.224713791464698200e+24
2.605210420841683389e-04,1.990224624030328457e+24,2.112052475359151262e+24,2.215069703918815015e+24,2.225070312434763905e+24
2.685370741482965597e-04,1.982394224018664177e+24,2.107899875795768495e+24,2.214050083702991227e+24,2.224357270501080852e+24
2.645290581162324764e-04,1.986308213020611234e+24,2.109975752528028227e+24,2.214559881138333410e+24,2.224713791464697126e+24
2.725450901803606971e-04,1.978482692891214789e+24,2.105824857770510288e+24,2.213540311995148466e+24,2.224000749544010108e+24
2.685370741482965597e-04,1.982394224018663640e+24,2.107899875795767958e+24,2.214050083702990153e+24,2.224357270501079778e+24
2.765531062124248346e-04,1.974573655467849303e+24,2.103750711050888137e+24,2.213030566397093454e+24,2.223644228593583678e+24
2.725450901803606971e-04,1.978482692891214789e+24,2.105824857770509214e+24,2.213540311995148466e+24,2.224000749544009571e+24
2.805611222444889721e-04,1.970667147540488167e+24,2.101677448225897329e+24,2.212520847291040701e+24,2.223287707649899005e+24
2.765531062124248346e-04,1.974573655467850109e+24,2.103750711050888137e+24,2.213030566397092917e+24,2.223644228593583141e+24
2.845691382765531095e-04,1.966763204862844334e+24,2.099605081874751359e+24,2.212011155059119890e+24,2.222931186713052188e+24
2.805611222444889721e-04,1.970667147540488436e+24,2.101677448225897329e+24,2.212520847291039628e+24,2.223287707649898468e+24
2.885771543086172470e-04,1.962861863149906526e+24,2.097533624566741811e+24,2.211501490083391445e+24,2.222574665783142280e+24
2.845691382765531095e-04,1.966763204862843529e+24,2.099605081874750822e+24,2.212011155059120158e+24,2.222931186713052188e+24
2.925851703406813302e-04,1.958963158077402098e+24,2.095463088861108706e+24,2.210991852745834459e+24,2.222218144860265918e+24
2.885771543086172470e-04,1.962861863149905990e+24,2.097533624566742080e+24,2.211501490083391982e+24,2.222574665783142011e+24
2.965931863727454677e-04,1.955067125281281368e+24,2.093393487306889636e+24,2.210482243428344807e+24,2.221861623944519738e+24
2.925851703406813302e-04,1.958963158077401830e+24,2.095463088861108169e+24,2.210991852745834191e+24,2.222218144860266455e+24
3.006012024048096052e-04,1.951173800357181287e+24,2.091324832442791456e+24,2.209972662512742396e+24,2.221505103036003868e+24
2.965931863727454677e-04,1.955067125281280831e+24,2.093393487306888294e+24,2.210482243428343733e+24,2.221861623944519201e+24
3.046092184368737426e-04,1.947283218859909236e+24,2.089257136797049353e+24,2.209463110380755867e+24,2.221148582134810111e+24
3.006012024048096052e-04,1.951173800357181287e+24,2.091324832442790382e+24,2.209972662512740249e+24,2.221505103036002257e+24
3.086172344689378801e-04,1.943395416302912597e+24,2.087190412887288065e+24,2.208953587414040578e+24,2.220792061241039132e+24
3.046092184368737426e-04,1.947283218859908162e+24,2.089257136797048279e+24,2.209463110380755331e+24,2.221148582134809843e+24
3.126252505010020176e-04,1.939510428157766313e+24,2.085124673220383372e+24,2.208444093994162496e+24,2.220435540354789714e+24
3.086172344689378801e-04,1.943395416302912061e+24,2.087190412887286723e+24,2.208953587414040847e+24,2.220792061241040742e+24
3.166332665330661008e-04,1.935628289853641112e+24,2.083059930292325724e+24,2.207934630502603302e+24,2.220079019476156347e+24
3.126252505010020176e-04,1.939510428157764971e+24,2.085124673220382298e+24,2.208444093994163033e+24,2.220435540354789714e+24
3.206412825651302383e-04,1.931749036776790262e+24,2.080996196588087910e+24,2.207425197320755554e+24,2.219722498605237815e+24
3.166332665330661008e-04,1.935628289853640306e+24,2.083059930292325456e+24,2.207934630502603034e+24,2.220079019476156615e+24
3.246492985971943758e-04,1.927872704270032834e+24,2.078933484581476068e+24,2.206915794829925375e+24,2.219365977742130217e+24
3.206412825651302383e-04,1.931749036776789994e+24,2.080996196588087910e+24,2.207425197320753943e+24,2.219722498605237546e+24
3.286573146292585132e-04,1.923999327632229711e+24,2.076871806735001382e+24,2.206406423411332183e+24,2.219009456886931266e+24
3.246492985971943758e-04,1.927872704270032028e+24,2.078933484581475532e+24,2.206915794829924838e+24,2.219365977742128607e+24
3.326653306613226507e-04,1.920128942117770882e+24,2.074811175499743709e+24,2.205897083446100908e+24,2.218652936039735717e+24
3.286573146292585132e-04,1.923999327632228369e+24,2.076871806735001651e+24,2.206406423411330573e+24,2.219009456886930460e+24
3.366733466933867882e-04,1.916261582936062726e+24,2.072751603315208238e+24,2.205387775315269235e+24,2.218296415200644235e+24
3.326653306613226507e-04,1.920128942117769003e+24,2.074811175499743172e+24,2.205897083446099834e+24,2.218652936039737596e+24
3.406813627254508714e-04,1.912397285251007249e+24,2.070693102609193689e+24,2.204878499399780096e+24,2.217939894369754261e+24
3.366733466933867882e-04,1.916261582936060847e+24,2.072751603315207433e+24,2.205387775315268162e+24,2.218296415200644772e+24
3.446893787575150089e-04,1.908536084180499037e+24,2.068635685797656214e+24,2.204369256080484346e+24,2.217583373547159480e+24
3.406813627254508714e-04,1.912397285251006713e+24,2.070693102609193958e+24,2.204878499399779559e+24,2.217939894369754261e+24
3.486973947895791463e-04,1.904678014795905562e+24,2.066579365284573302e+24,2.203860045738139695e+24,2.217226852732959749e+24
3.446893787575150089e-04,1.908536084180499037e+24,2.068635685797657288e+24,2.204369256080484078e+24,2.217583373547159480e+24
3.527054108216432838e-04,1.900823112121562257e+24,2.064524153461798016e+24,2.203350868753404261e+24,2.216870331927249558e+24
3.486973947895791463e-04,1.904678014795905562e+24,2.066579365284571960e+24,2.203860045738139426e+24,2.217226852732958675e+24
3.567134268537074213e-04,1.896971411134260074e+24,2.062470062708939542e+24,2.202841725506845434e+24,2.216513811130129033e+24
3.527054108216432838e-04,1.900823112121562257e+24,2.064524153461798016e+24,2.203350868753404261e+24,2.216870331927249021e+24
3.607214428857715587e-04,1.893122946762740821e+24,2.060417105393213940e+24,2.202332616378924839e+24,2.216157290341691053e+24
3.567134268537074213e-04,1.896971411134259537e+24,2.062470062708939005e+24,2.202841725506844629e+24,2.216513811130127959e+24
3.647294589178356420e-04,1.889277753887187408e+24,2.058365293869316094e+24,2.201823541750013368e+24,2.215800769562037086e+24
3.607214428857715587e-04,1.893122946762740553e+24,2.060417105393213940e+24,2.202332616378924302e+24,2.216157290341691053e+24
3.687374749498997795e-04,1.885435867338724017e+24,2.056314640479276375e+24,2.201314502000376958e+24,2.215444248791261085e+24
3.647294589178356420e-04,1.889277753887187140e+24,2.058365293869315020e+24,2.201823541750012026e+24,2.215800769562036817e+24
3.727454909819639169e-04,1.881597321898907954e+24,2.054265157552335814e+24,2.200805497510183297e+24,2.215087728029461029e+24
3.687374749498997795e-04,1.885435867338724017e+24,2.056314640479276644e+24,2.201314502000375616e+24,2.215444248791261085e+24
3.767535070140280544e-04,1.877762152299228213e+24,2.052216857404803832e+24,2.200296528659493503e+24,2.214731207276734896e+24
3.727454909819639169e-04,1.881597321898907954e+24,2.054265157552336351e+24,2.200805497510181686e+24,2.215087728029460223e+24
3.807615230460921919e-04,1.873930393220609139e+24,2.050169752339922949e+24,2.199787595828272864e+24,2.214374686533176103e+24
3.767535070140280544e-04,1.877762152299227945e+24,2.052216857404803564e+24,2.200296528659492429e+24,2.214731207276733286e+24
3.847695390781563293e-04,1.870102079292900129e+24,2.048123854647738057e+24,2.199278699396372852e+24,2.214018165798885044e+24
3.807615230460921919e-04,1.873930393220607528e+24,2.050169752339922144e+24,2.199787595828271790e+24,2.214374686533176103e+24
3.887775551102204126e-04,1.866277245094388157e+24,2.046079176604957098e+24,2.198769839743550985e+24,2.213661645073957014e+24
3.847695390781563293e-04,1.870102079292899861e+24,2.048123854647736983e+24,2.199278699396372583e+24,2.214018165798884776e+24
3.927855711422845500e-04,1.862455925151297945e+24,2.044035730474822758e+24,2.198261017249446938e+24,2.213305124358489991e+24
3.887775551102204126e-04,1.866277245094387352e+24,2.046079176604956293e+24,2.198769839743549911e+24,2.213661645073957282e+24
3.967935871743486875e-04,1.858638153937291064e+24,2.041993528506970727e+24,2.197752232293598113e+24,2.212948603652579808e+24
3.927855711422845500e-04,1.862455925151297945e+24,2.044035730474821952e+24,2.198261017249446132e+24,2.213305124358489186e+24
4.008016032064128250e-04,1.854823965872980599e+24,2.039952582937304344e+24,2.197243485255434538e+24,2.212592082956322563e+24
3.967935871743486875e-04,1.858638153937291064e+24,2.041993528506969653e+24,2.197752232293598650e+24,2.212948603652579002e+24
4.048096192384769624e-04,1.851013395325429987e+24,2.037912905987848835e+24,2.196734776514276986e+24,2.212235562269816237e+24
4.008016032064128250e-04,1.854823965872980331e+24,2.039952582937303807e+24,2.197243485255434806e+24,2.212592082956322563e+24
4.088176352705410457e-04,1.847206476607667946e+24,2.035874509866633737e+24,2.196226106449328658e+24,2.211879041593157733e+24
4.048096192384769624e-04,1.851013395325429182e+24,2.037912905987849640e+24,2.196734776514275376e+24,2.212235562269816505e+24
4.128256513026051832e-04,1.843403243978192144e+24,2.033837406767542576e+24,2.195717475439686720e+24,2.211522520926442616e+24
4.088176352705410457e-04,1.847206476607666336e+24,2.035874509866633737e+24,2.196226106449327584e+24,2.211879041593157196e+24
4.168336673346693206e-04,1.839603731640490844e+24,2.031801608870193413e+24,2.195208883864332375e+24,2.211166000269769400e+24
4.128256513026051832e-04,1.843403243978192950e+24,2.033837406767543382e+24,2.195717475439685914e+24,2.211522520926442616e+24
4.208416833667334581e-04,1.835807973742544152e+24,2.029767128339794694e+24,2.194700332102137307e+24,2.210809479623231771e+24
4.168336673346693206e-04,1.839603731640491650e+24,2.031801608870193145e+24,2.195208883864332375e+24,2.211166000269768595e+24
4.248496993987975956e-04,1.832016004376349960e+24,2.027733977327021767e+24,2.194191820531851862e+24,2.210452958986928512e+24
4.208416833667334581e-04,1.835807973742545763e+24,2.029767128339794694e+24,2.194700332102136233e+24,2.210809479623232845e+24
4.288577154308617330e-04,1.828227857577428411e+24,2.025702167967875958e+24,2.193683349532112306e+24,2.210096438360957602e+24
4.248496993987975956e-04,1.832016004376350496e+24,2.027733977327020693e+24,2.194191820531850788e+24,2.210452958986929317e+24
4.328657314629258163e-04,1.824443567324346238e+24,2.023671712383557599e+24,2.193174919481438937e+24,2.209739917745412725e+24
4.288577154308617330e-04,1.828227857577428679e+24,2.025702167967874616e+24,2.193683349532111769e+24,2.210096438360957065e+24
4.368737474949899537e-04,1.820663167538238675e+24,2.021642622680333688e+24,2.192666530758233676e+24,2.209383397140392397e+24
4.328657314629258163e-04,1.824443567324345970e+24,2.023671712383557867e+24,2.193174919481438669e+24,2.209739917745411919e+24
4.408817635270540912e-04,1.816886692082319563e+24,2.019614910949402868e+24,2.192158183740773082e+24,2.209026876545991107e+24
4.368737474949899537e-04,1.820663167538238675e+24,2.021642622680333688e+24,2.192666530758233139e+24,2.209383397140391860e+24
4.448897795591182287e-04,1.813114174761415081e+24,2.017588589266764965e+24,2.191649878807223120e+24,2.208670355962308445e+24
4.408817635270540912e-04,1.816886692082320100e+24,2.019614910949402331e+24,2.192158183740772008e+24,2.209026876545991107e+24
4.488977955911823661e-04,1.809345649321478409e+24,2.015563669693087579e+24,2.191141616335616075e+24,2.208313835389437826e+24
4.448897795591182287e-04,1.813114174761414812e+24,2.017588589266764428e+24,2.191649878807222315e+24,2.208670355962307908e+24
4.529058116232465036e-04,1.805581149449117288e+24,2.013540164273579649e+24,2.190633396703873097e+24,2.207957314827477230e+24
4.488977955911823661e-04,1.809345649321477335e+24,2.015563669693087579e+24,2.191141616335615538e+24,2.208313835389437558e+24
4.569138276553105869e-04,1.801820708771123983e+24,2.011518085037854011e+24,2.190125220289780048e+24,2.207600794276523292e+24
4.529058116232465036e-04,1.805581149449117288e+24,2.013540164273578843e+24,2.190633396703872292e+24,2.207957314827476693e+24
4.609218436873747243e-04,1.798064360853999622e+24,2.009497443999800703e+24,2.189617087471007897e+24,2.207244273736672382e+24
4.569138276553105869e-04,1.801820708771122909e+24,2.011518085037854011e+24,2.190125220289780854e+24,2.207600794276523292e+24
4.649298597194388618e-04,1.794312139203482818e+24,2.007478253157452742e+24,2.189108998625093128e+24,2.206887753208020599e+24
